cluster,croissance_pop,PIB,prot_anim,prot_hab,prot_volaille,kcal_hab
1,2.089130434782609,4977.937087347826,41.744347826086965,25067.089130434786,7.526956521739132,942604.5652173914
2,2.3148936170212773,1436.9441466170206,22.55808510638298,22163.576595744682,2.271063829787234,877273.6170212766
3,0.9388,52919.57715904,59.937200000000004,39913.188,10.486399999999998,1259892.4
4,0.7616666666666667,11477.748443166667,56.59499999999999,28441.408333333336,21.9025,986382.0833333334
5,0.472923076923077,11566.759235692307,49.004461538461534,33193.773846153854,9.220153846153849,1126799.923076923
